poi_id,name,latitude,longitude,poi_type,category_detail,vibe,avg_cost,simulated_rating,dwell_time_minutes,popularity_score,opening_time,closing_time,time_block_suitability,is_central
13,KFC,10.780868,106.6982351,Food_Dining,fast_food,Local,108257,4.42,41,0.546,06:00,22:00,"morning,afternoon,evening",False
14,Lotteria,10.7717072,106.687498,Food_Dining,fast_food,Local,51808,3.99,71,0.377,06:00,22:00,"morning,afternoon,evening",False
15,KFC,10.7573679,106.6744982,Food_Dining,fast_food,Local,54301,4.38,42,0.278,06:00,22:00,"morning,afternoon,evening",False
16,Lotteria,10.7806494,106.6984325,Food_Dining,fast_food,Local,96779,4.72,69,0.405,06:00,22:00,"morning,afternoon,evening",False
17,Lotteria,10.7815168,106.6926088,Food_Dining,fast_food,Local,85849,4.79,35,0.363,06:00,22:00,"morning,afternoon,evening",False
18,Bánh Bao Đức Ký,10.7567772,106.6534012,Food_Dining,fast_food,Local,75229,3.63,78,0.368,06:00,22:00,"morning,afternoon,evening",False
19,KFC,10.7702226,106.6938718,Food_Dining,fast_food,Local,102929,3.81,36,0.773,06:00,22:00,"morning,afternoon,evening",True
20,Lotteria,10.7917715,106.6913899,Food_Dining,fast_food,Local,106682,4.01,26,0.466,06:00,22:00,"morning,afternoon,evening",False
21,KFC,10.8115508,106.6958817,Food_Dining,fast_food,Local,115675,4.21,72,0.303,06:00,22:00,"morning,afternoon,evening",False
22,KFC,10.7862755,106.6660853,Food_Dining,fast_food,Local,51400,4.44,54,0.442,06:00,22:00,"morning,afternoon,evening",False
23,Lotteria,10.8000744,106.7110951,Food_Dining,fast_food,Local,62247,4.55,71,0.468,06:00,22:00,"morning,afternoon,evening",False
24,Lotteria,10.7676493,106.6953831,Food_Dining,fast_food,Local,116640,4.38,61,0.759,06:00,22:00,"morning,afternoon,evening",True
25,Lotteria,10.7559824,106.6628075,Food_Dining,fast_food,Local,100972,4.13,90,0.335,06:00,22:00,"morning,afternoon,evening",False
26,Nhà Hàng BBQ Chicken,10.768208,106.6841501,Food_Dining,restaurant,Chill,358618,3.65,117,0.44,07:00,23:00,"afternoon,evening",False
27,Lotteria,10.7777196,106.6655017,Food_Dining,fast_food,Local,109859,3.82,30,0.307,06:00,22:00,"morning,afternoon,evening",False
28,Lotteria,10.7677546,106.6666246,Food_Dining,fast_food,Local,118332,3.76,81,0.475,06:00,22:00,"morning,afternoon,evening",False
29,Lotteria,10.7994166,106.696288,Food_Dining,fast_food,Local,98669,4.64,67,0.413,06:00,22:00,"morning,afternoon,evening",False
30,KFC - Trần Hưng Đạo,10.7567799,106.6852501,Food_Dining,fast_food,Local,79299,3.97,51,0.548,06:00,22:00,"morning,afternoon,evening",False
31,KFC,10.8000541,106.6962085,Food_Dining,fast_food,Local,94369,3.98,72,0.338,06:00,22:00,"morning,afternoon,evening",False
32,Lotteria,10.7863467,106.7016034,Food_Dining,fast_food,Local,59910,3.78,28,0.468,06:00,22:00,"morning,afternoon,evening",False
33,KFC,10.7886556,106.6760753,Food_Dining,fast_food,Local,115964,3.87,86,0.257,06:00,22:00,"morning,afternoon,evening",False
34,KFC,10.7501568,106.650781,Food_Dining,fast_food,Local,76284,3.83,65,0.393,06:00,22:00,"morning,afternoon,evening",False
35,KFC,10.7620711,106.6563833,Food_Dining,fast_food,Local,89407,3.69,90,0.293,06:00,22:00,"morning,afternoon,evening",False
36,Jollibee,10.7699629,106.6821277,Food_Dining,fast_food,Local,113755,4.05,27,0.373,06:00,22:00,"morning,afternoon,evening",False
37,Lotteria,10.7570454,106.6780965,Food_Dining,fast_food,Local,68915,3.55,26,0.279,06:00,22:00,"morning,afternoon,evening",False
38,Nhà Hàng Au Tresor,10.772698,106.7048299,Food_Dining,restaurant,Chill,171815,3.57,90,0.573,07:00,23:00,"afternoon,evening",True
39,Lotteria,10.7772651,106.7022543,Food_Dining,fast_food,Local,91628,3.78,66,0.689,06:00,22:00,"morning,afternoon,evening",True
40,Cửa Hàng Đồ Ăn Nhanh G-Bread,10.7616574,106.6896218,Food_Dining,fast_food,Local,69190,4.23,23,0.318,06:00,22:00,"morning,afternoon,evening",False
41,Lotteria,10.7882662,106.6618944,Food_Dining,fast_food,Local,57756,3.83,57,0.432,06:00,22:00,"morning,afternoon,evening",False
42,Lotteria,10.7660873,106.6639274,Food_Dining,fast_food,Local,52127,4.69,58,0.459,06:00,22:00,"morning,afternoon,evening",False
43,Lotteria,10.7976096,106.6907825,Food_Dining,fast_food,Local,53411,3.56,88,0.275,06:00,22:00,"morning,afternoon,evening",False
44,Cà Phê Noir,10.8035512,106.6878557,Food_Dining,cafe,Chill,119056,3.66,41,0.304,07:00,23:00,"afternoon,evening",False
45,Cà Phê Thuỷ Trúc,10.8104285,106.7084493,Food_Dining,cafe,Chill,81045,3.54,32,0.34,07:00,23:00,"afternoon,evening",False
46,POI_860695637,10.7921192,106.6715493,Food_Dining,cafe,Chill,55680,3.52,35,0.504,07:00,23:00,"afternoon,evening",False
47,POI_860695676,10.7917292,106.6710236,Food_Dining,cafe,Chill,74824,3.81,80,0.453,07:00,23:00,"afternoon,evening",False
48,POI_860695706,10.7917925,106.6719463,Food_Dining,restaurant,Chill,298862,3.89,65,0.286,07:00,23:00,"afternoon,evening",False
49,POI_860695974,10.7921508,106.6710451,Food_Dining,restaurant,Chill,202397,4.75,101,0.263,07:00,23:00,"afternoon,evening",False
50,Lotte Cinema,10.780808,106.6984465,Entertainment_Leisure,cinema,Family,37579,4.54,120,0.45,09:00,21:30,"morning,afternoon",False
51,Tượng Đức Thánh Trần Hưng Đạo,10.7752864,106.706468,Culture_History,attraction,Local,33712,3.66,81,0.724,06:00,22:00,"morning,afternoon,evening",True
52,Cà Phê Vườn Xuân,10.7926596,106.6797398,Food_Dining,cafe,Chill,110907,3.85,58,0.345,07:00,23:00,"afternoon,evening",False
53,POI_863420777,10.7923478,106.6796389,Food_Dining,restaurant,Chill,397111,4.29,93,0.333,07:00,23:00,"afternoon,evening",False
54,Quán Bar Allez Boo,10.7686257,106.6933883,Food_Dining,bar,Party,227746,4.19,82,0.613,18:00,02:00,night,True
55,Nhà Hàng Bờ Sông,10.789502,106.711158,Food_Dining,restaurant,Chill,201801,3.58,110,0.26,07:00,23:00,"afternoon,evening",False
56,Nhà Hàng Riverside Saigon,10.7728736,106.7062835,Food_Dining,restaurant,Chill,344027,4.57,109,0.609,07:00,23:00,"afternoon,evening",True
57,Nhà Hàng Hai Lúa Sài Gòn,10.7807008,106.7067111,Food_Dining,restaurant,Chill,191132,3.86,82,0.45,07:00,23:00,"afternoon,evening",False
58,Cà Phê Vườn Kiểng,10.7757808,106.7071741,Food_Dining,cafe,Chill,117590,4.65,71,0.683,07:00,23:00,"afternoon,evening",True
59,Cà Phê Spotlight,10.7645525,106.7036887,Food_Dining,cafe,Chill,40713,4.32,62,0.605,07:00,23:00,"afternoon,evening",True
60,Cà Phê Màu Hoa Anh Đào,10.7814169,106.7061129,Food_Dining,cafe,Chill,40559,3.61,55,0.316,07:00,23:00,"afternoon,evening",False
61,The Coffee House,10.7809412,106.7064002,Food_Dining,cafe,Chill,42076,3.53,73,0.533,07:00,23:00,"afternoon,evening",False
62,Tiệm Áo Cưới Thiên Thảo,10.7632741,106.7037179,Shopping_Commerce,shop:clothes,Local,85893,4.35,74,0.6,06:00,22:00,"morning,afternoon,evening",True
63,Focomart,10.7652697,106.7028692,Shopping_Commerce,shop:supermarket,Local,103916,4.29,62,0.823,06:00,22:00,"morning,afternoon,evening",True
64,Cà Phê Trùng 3T,10.7805044,106.7072351,Food_Dining,cafe,Chill,78908,4.55,72,0.332,07:00,23:00,"afternoon,evening",False
65,Thức Ăn Dinh Dưỡng Cây Thị,10.7638808,106.7048454,Food_Dining,fast_food,Local,81987,4.42,26,0.795,06:00,22:00,"morning,afternoon,evening",True
66,Nhà Hàng Buffet Vasta,10.7820596,106.7057171,Food_Dining,cafe,Chill,112556,3.91,57,0.395,07:00,23:00,"afternoon,evening",False
67,Nhà Hàng Wrap&Roll,10.7732882,106.7040253,Food_Dining,restaurant,Chill,195976,3.76,109,0.831,07:00,23:00,"afternoon,evening",True
68,Trung Nguyên Coffee,10.7921354,106.7128519,Food_Dining,cafe,Chill,67868,4.57,90,0.535,07:00,23:00,"afternoon,evening",False
69,Quán Ăn Gia Đình,10.8029924,106.6995844,Food_Dining,restaurant,Chill,319368,3.97,114,0.334,07:00,23:00,"afternoon,evening",False
70,Cửa Hàng Tiện Lợi Shop&Go!,10.806477,106.6949172,Shopping_Commerce,shop:supermarket,Local,36819,3.93,114,0.369,06:00,22:00,"morning,afternoon,evening",False
71,Focomart,10.8036214,106.7012353,Shopping_Commerce,shop:supermarket,Local,66858,3.95,92,0.492,06:00,22:00,"morning,afternoon,evening",False
72,Bảo Tàng Địa Chất,10.7849957,106.7076753,Culture_History,museum,Culture,159923,4.17,116,0.697,08:00,17:00,"morning,afternoon",False
73,Nhà Hàng Đồ Chay,10.8062565,106.6949559,Food_Dining,restaurant,Chill,332965,4.7,118,0.415,07:00,23:00,"afternoon,evening",False
74,POI_1123004808,10.7693242,106.6828742,Entertainment_Leisure,cinema,Family,177800,4.27,120,0.42,09:00,21:30,"morning,afternoon",False
75,Nhà Hàng Crazy Buffalo,10.767375,106.6941425,Food_Dining,restaurant,Chill,379649,4.03,88,0.752,07:00,23:00,"afternoon,evening",True
76,Go 2 Bar,10.7672775,106.69391,Food_Dining,bar,Party,332795,4.1,23,0.557,18:00,02:00,night,True
77,Nhà Hàng Pizza Fixme,10.7680337,106.6938158,Food_Dining,restaurant,Chill,313066,3.68,67,0.675,07:00,23:00,"afternoon,evening",True
78,Cà Phê Amenity,10.7682761,106.6936656,Food_Dining,cafe,Chill,49310,3.61,81,0.586,07:00,23:00,"afternoon,evening",True
79,Nhà Hàng Đồ Ăn Việt Nam Aroma,10.7684684,106.6938884,Food_Dining,restaurant:vietnamese,Chill,195829,4.17,109,0.664,07:00,23:00,"afternoon,evening",True
80,Cà Phê Hog's Breath,10.7718499,106.7048379,Food_Dining,cafe,Chill,77725,3.83,69,0.58,07:00,23:00,"afternoon,evening",True
81,Bánh Canh Hoàng Ty,10.7917311,106.6915979,Food_Dining,restaurant:regional,Chill,245164,4.54,64,0.256,07:00,23:00,"afternoon,evening",False
82,Cà Phê Napoli,10.7732622,106.6938064,Food_Dining,cafe,Chill,113979,3.72,67,0.556,07:00,23:00,"afternoon,evening",True
83,Quán Ăn 7777,10.8184173,106.7047992,Food_Dining,restaurant:asian,Chill,368036,3.66,91,0.544,07:00,23:00,"afternoon,evening",False
84,Cafe Thứ 7,10.7853912,106.6966905,Food_Dining,cafe,Chill,97203,4.52,63,0.404,07:00,23:00,"afternoon,evening",False
85,Cà Phê 3G,10.7956722,106.7339169,Food_Dining,cafe,Chill,116090,4.46,75,0.381,07:00,23:00,"afternoon,evening",False
86,Cà Phê Terrace,10.7737673,106.7011077,Food_Dining,cafe,Chill,109413,4.26,30,0.724,07:00,23:00,"afternoon,evening",True
87,Cà Phê Au Parc,10.7787503,106.6981182,Food_Dining,cafe,Chill,44615,4.49,69,0.847,07:00,23:00,"afternoon,evening",True
88,Cà Phê The Refinery,10.7782301,106.7037621,Food_Dining,cafe,Chill,59746,4.4,43,0.645,07:00,23:00,"afternoon,evening",True
89,Maximart,10.7769187,106.6811112,Shopping_Commerce,shop:supermarket,Local,117891,4.48,55,0.408,06:00,22:00,"morning,afternoon,evening",False
90,Nhà Hàng Vietnamese Kitchen,10.7666137,106.6922676,Food_Dining,restaurant,Chill,304576,3.64,97,0.718,07:00,23:00,"afternoon,evening",True
91,Quán Bar Voodoo,10.7726982,106.7036443,Food_Dining,bar,Party,206783,3.57,79,0.586,18:00,02:00,night,True
92,Quán Bar No.5,10.7712979,106.7024,Food_Dining,bar,Party,164404,4.11,63,0.626,18:00,02:00,night,True
93,Nhà Hàng Lẩu Cua,10.8184378,106.6990062,Food_Dining,restaurant,Luxury,185919,4.02,108,0.334,11:00,22:00,evening,False
94,Siêu Thị Bình Hòa,10.816301,106.6981233,Shopping_Commerce,shop:supermarket,Local,49260,4.2,99,0.285,06:00,22:00,"morning,afternoon,evening",False
95,POI_1635104127,10.8191677,106.7007329,Food_Dining,restaurant,Chill,248710,3.56,61,0.348,07:00,23:00,"afternoon,evening",False
96,Cà Phê Sân Cỏ,10.7925804,106.749832,Food_Dining,cafe,Chill,60161,3.89,65,0.361,07:00,23:00,"afternoon,evening",False
97,Siêu Thị Mela,10.7579255,106.6731127,Shopping_Commerce,shop:supermarket,Local,65671,4.35,92,0.319,06:00,22:00,"morning,afternoon,evening",False
98,Nhà Hàng Jaspas,10.778168,106.7037041,Food_Dining,restaurant,Chill,156053,4.36,66,0.592,07:00,23:00,"afternoon,evening",True
99,POI_1769477886,10.754757,106.6578401,Entertainment_Leisure,other,Local,35250,4.27,80,0.477,06:00,22:00,"morning,afternoon,evening",False
100,Tượng An Dương Vương,10.7598529,106.668921,Culture_History,attraction,Local,52909,3.66,51,0.656,06:00,22:00,"morning,afternoon,evening",False
101,The Coffee House,10.7850269,106.7026662,Food_Dining,cafe,Chill,97083,4.04,46,0.409,07:00,23:00,"afternoon,evening",False
102,Phòng Truyền thống Thành Đoàn,10.7820744,106.6977069,Culture_History,museum,Culture,179867,4.44,127,0.408,08:00,17:00,"morning,afternoon",False
103,Hồ Con Rùa,10.782588,106.6958888,Culture_History,other,Local,152937,4.33,86,0.309,06:00,22:00,"morning,afternoon,evening",False
104,Cà Phê Đá,10.7805631,106.6975344,Food_Dining,cafe,Chill,98500,4.76,85,0.281,07:00,23:00,"afternoon,evening",False
105,Cà Phê 4A,10.781379,106.697592,Food_Dining,cafe,Chill,95461,3.72,76,0.398,07:00,23:00,"afternoon,evening",False
106,Cửa Hàng Fresh Donuts,10.7827014,106.6980129,Food_Dining,fast_food,Local,67528,3.81,50,0.549,06:00,22:00,"morning,afternoon,evening",False
107,Nhà Hàng Shri Lounge,10.7826304,106.6972822,Food_Dining,restaurant:international,Chill,351391,4.14,110,0.374,07:00,23:00,"afternoon,evening",False
108,Hội Quán Thanh Niên,10.7819478,106.6979915,Food_Dining,cafe,Chill,91659,3.85,45,0.51,07:00,23:00,"afternoon,evening",False
109,Cà Phê Ciao,10.7751001,106.7029693,Food_Dining,cafe,Chill,52838,3.88,37,0.779,07:00,23:00,"afternoon,evening",True
110,Nhà Hàng Ấn Độ Curry Rice,10.7762829,106.7042247,Food_Dining,restaurant:indian,Chill,395677,3.89,114,0.819,07:00,23:00,"afternoon,evening",True
111,Nhà Hàng Halal Sai Gon,10.7760297,106.7047293,Food_Dining,restaurant:asian,Chill,338774,4.48,69,0.599,07:00,23:00,"afternoon,evening",True
112,Nhà Hàng Cung Đình Rex,10.7754972,106.7007063,Food_Dining,restaurant:vietnamese,Chill,160584,3.92,60,0.738,07:00,23:00,"afternoon,evening",True
113,Nhà Hàng Tiệc Cưới 108 Nguyễn Du,10.7754764,106.6956779,Food_Dining,restaurant:vietnamese,Chill,247185,4.68,83,0.693,07:00,23:00,"afternoon,evening",True
114,Cà Phê 30-4,10.7761438,106.6946963,Food_Dining,cafe,Chill,61331,3.64,37,0.8,07:00,23:00,"afternoon,evening",True
115,Nhà Hàng Alibaba,10.7743953,106.7040996,Food_Dining,restaurant:international;grill;coffee_shop;persian;asian;steak_house;beef_bowl;russian;donut;pancake;fish_and_chips;chicken;vietnamese;oriental;breakfast;savory_pancakes;tea;seafood;friture;chinese;kebab;barbecue,Party,504809,3.66,60,0.713,18:00,02:00,night,True
116,Highlands Coffee,10.7769684,106.70344,Food_Dining,cafe,Chill,79675,3.62,32,0.723,07:00,23:00,"afternoon,evening",True
117,POI_1770597640,10.7737618,106.704673,Shopping_Commerce,shop:supermarket,Local,102763,4.21,74,0.722,06:00,22:00,"morning,afternoon,evening",True
118,Mimi Ultra Lounge,10.7718973,106.7005703,Food_Dining,bar,Party,205892,4.68,27,0.643,18:00,02:00,night,True
119,Quán Bar Saigon Saigon,10.7760827,106.7034287,Food_Dining,bar,Party,188807,3.51,80,0.593,18:00,02:00,night,True
120,Cà Phê Smart,10.7876581,106.6999764,Food_Dining,cafe,Chill,111842,4.06,64,0.256,07:00,23:00,"afternoon,evening",False
121,Cửa Hàng Mua Sắm Citimart,10.7559528,106.6624963,Shopping_Commerce,shop:supermarket,Local,103056,4.37,109,0.481,06:00,22:00,"morning,afternoon,evening",False
122,Rạp Phim Megastar,10.7561091,106.6628487,Entertainment_Leisure,cinema,Family,118420,3.81,120,0.374,09:00,21:30,"morning,afternoon",False
123,Nhà Hàng Hải Cảng,10.7662887,106.7077614,Food_Dining,restaurant:chinese,Chill,314775,4.2,89,0.636,07:00,23:00,"afternoon,evening",True
124,Nhà Hàng Honeymoon,10.7602951,106.6991702,Food_Dining,restaurant,Chill,188732,4.75,100,0.816,07:00,23:00,"afternoon,evening",True
125,Cửa Hàng Xôi Chè Bùi Thị Xuân,10.7675882,106.6863944,Food_Dining,restaurant,Chill,204829,3.91,67,0.352,07:00,23:00,"afternoon,evening",False
126,Topping Beef,10.7797991,106.6949139,Food_Dining,restaurant,Chill,347624,4.32,103,0.768,07:00,23:00,"afternoon,evening",True
127,The Coffee Bean & Tea Leaf,10.7805315,106.6956539,Food_Dining,cafe,Chill,58348,3.73,31,0.328,07:00,23:00,"afternoon,evening",False
128,Cà Phê Calibre,10.7743763,106.7037363,Food_Dining,cafe,Chill,86477,4.43,78,0.723,07:00,23:00,"afternoon,evening",True
129,Quán Bar Trung Tâm,10.7767817,106.7040443,Food_Dining,bar,Party,129726,3.88,50,0.699,18:00,02:00,night,True
130,Trung Nguyên Coffee,10.7817145,106.6982688,Food_Dining,cafe,Chill,114060,3.7,88,0.488,07:00,23:00,"afternoon,evening",False
131,Bến Thành,10.783112,106.6980911,Food_Dining,bar,Party,156875,3.61,26,0.27,18:00,02:00,night,False
132,Quán Cà Phê Papa,10.7833122,106.6956127,Food_Dining,cafe,Chill,41587,4.56,66,0.326,07:00,23:00,"afternoon,evening",False
133,Cà Phê Gió Bấc,10.783145,106.6955418,Food_Dining,cafe,Chill,45511,4.78,72,0.342,07:00,23:00,"afternoon,evening",False
134,Quán Chill Skybar,10.7704248,106.6943359,Food_Dining,bar,Party,314222,3.99,40,0.668,18:00,02:00,night,True
135,Highlands Coffee,10.7686177,106.6935317,Food_Dining,cafe,Chill,117555,3.92,61,0.647,07:00,23:00,"afternoon,evening",True
136,Nhà Hàng Bornga,10.7788067,106.7020073,Food_Dining,restaurant:korean,Chill,251388,3.96,85,0.77,07:00,23:00,"afternoon,evening",True
137,The Coffee Bean & Tea Leaf,10.7680657,106.695136,Food_Dining,cafe,Chill,54178,4.4,60,0.769,07:00,23:00,"afternoon,evening",True
138,The Coffee Bean & Tea Leaf;235 Đồng Khởi,10.7786273,106.6999908,Food_Dining,cafe,Chill,49235,4.37,58,0.844,07:00,23:00,"afternoon,evening",True
139,Cà Phê Cuộc Sống Dễ Dàng,10.7826261,106.6965122,Food_Dining,cafe,Chill,79432,4.28,43,0.533,07:00,23:00,"afternoon,evening",False
140,Quán Phở 2000,10.7718157,106.697747,Food_Dining,restaurant:vietnamese,Chill,238594,3.58,101,0.582,07:00,23:00,"afternoon,evening",True
141,Trung Nguyên Coffee,10.772661,106.6954006,Food_Dining,cafe,Chill,61545,4.04,40,0.748,07:00,23:00,"afternoon,evening",True
142,Highlands Coffee,10.7841289,106.7033179,Food_Dining,cafe,Chill,118939,4.7,53,0.258,07:00,23:00,"afternoon,evening",False
143,Cửa Hàng Thời Trang N&M,10.7823547,106.6964907,Shopping_Commerce,shop:clothes,Local,194972,4.15,40,0.294,06:00,22:00,"morning,afternoon,evening",False
144,Bánh Mì The One,10.779859,106.700914,Food_Dining,fast_food,Local,92958,4.71,31,0.559,06:00,22:00,"morning,afternoon,evening",True
145,Nhà Hàng Lion Beer,10.776619,106.7039069,Food_Dining,restaurant:international,Chill,312717,3.58,110,0.605,07:00,23:00,"afternoon,evening",True
146,Cà Phê Central Nguyễn Huệ,10.7738692,106.7034139,Food_Dining,cafe,Chill,57766,4.58,84,0.686,07:00,23:00,"afternoon,evening",True
147,Highlands Coffee,10.7736729,106.7007717,Food_Dining,cafe,Chill,81285,4.3,74,0.743,07:00,23:00,"afternoon,evening",True
148,Cà Phê Soho,10.7725032,106.7019571,Food_Dining,cafe,Chill,44032,4.2,70,0.806,07:00,23:00,"afternoon,evening",True
149,Nhà Hàng Ngon,10.7773464,106.6996325,Food_Dining,restaurant:vietnamese,Chill,256157,3.69,99,0.576,07:00,23:00,"afternoon,evening",True
150,Nhà Hàng Rơm BBQ,10.7736789,106.6992615,Food_Dining,restaurant:american,Chill,180526,4.37,115,0.589,07:00,23:00,"afternoon,evening",True
151,Phở 24,10.7718553,106.6975823,Food_Dining,restaurant:vietnamese;noodle,Chill,163281,4.63,107,0.842,07:00,23:00,"afternoon,evening",True
152,Nhà Hàng Nướng Barbecue Garden,10.7748184,106.6992492,Food_Dining,restaurant,Chill,360296,3.89,113,0.731,07:00,23:00,"afternoon,evening",True
153,Siêu thị Điện máy Chợ Lớn,10.7542055,106.6645954,Shopping_Commerce,shop:supermarket,Local,63483,4.1,90,0.438,06:00,22:00,"morning,afternoon,evening",False
154,Cafe Trung Nguyên,10.7563655,106.685485,Food_Dining,cafe,Chill,105267,4.12,75,0.311,07:00,23:00,"afternoon,evening",False
155,Tân Cảng,10.8005534,106.7246028,Food_Dining,restaurant,Chill,197759,4.08,85,0.319,07:00,23:00,"afternoon,evening",False
156,Cà Phê Quỳnh,10.77977,106.661781,Food_Dining,cafe,Chill,75233,3.63,32,0.496,07:00,23:00,"afternoon,evening",False
157,Highlands Coffee,10.7809781,106.6980644,Food_Dining,cafe,Chill,94929,4.66,65,0.393,07:00,23:00,"afternoon,evening",False
158,Phở Bắc Hải,10.7838752,106.6992161,Food_Dining,restaurant:vietnamese,Chill,159197,4.62,81,0.434,07:00,23:00,"afternoon,evening",False
159,Cửa Hàng Thời Trang M&B,10.7838908,106.6988927,Shopping_Commerce,shop:clothes,Local,73458,4.51,54,0.526,06:00,22:00,"morning,afternoon,evening",False
160,Cửa Hàng Thời Trang An Phước,10.7804676,106.6956763,Shopping_Commerce,shop:clothes,Local,50599,4.23,22,0.543,06:00,22:00,"morning,afternoon,evening",False
161,Nhà Hàng Pháp Hoa,10.767809,106.688677,Food_Dining,restaurant:vietnamese,Chill,386294,4.44,99,0.338,07:00,23:00,"afternoon,evening",False
162,Quán Ăn Hoàng Ký 1,10.755919,106.676499,Food_Dining,restaurant:asian,Chill,204496,3.75,92,0.4,07:00,23:00,"afternoon,evening",False
163,Pizza Hut Nguyễn Trãi,10.7565057,106.6760334,Food_Dining,fast_food,Local,119110,4.25,33,0.301,06:00,22:00,"morning,afternoon,evening",False
164,Bún Bò Huế Gia Hội,10.78415,106.6975046,Food_Dining,restaurant:vietnamese,Chill,288182,4.11,78,0.522,07:00,23:00,"afternoon,evening",False
165,Nhà Hàng Hồ Tây,10.784324,106.697355,Food_Dining,restaurant:vietnamese,Chill,359679,3.91,119,0.308,07:00,23:00,"afternoon,evening",False
166,Cafe Thềm Xưa,10.759976,106.685927,Food_Dining,cafe,Chill,47187,3.56,58,0.376,07:00,23:00,"afternoon,evening",False
167,Quán Cơm Gà Xối Mỡ,10.786308,106.671644,Food_Dining,restaurant:vietnamese,Chill,388312,4.01,112,0.419,07:00,23:00,"afternoon,evening",False
168,Nhà Hàng Hoằng Long,10.7768249,106.703813,Food_Dining,restaurant,Chill,370439,4.3,62,0.789,07:00,23:00,"afternoon,evening",True
169,Trà sữa Tea Cup,10.7980613,106.6885019,Food_Dining,cafe,Chill,83218,3.59,83,0.473,07:00,23:00,"afternoon,evening",False
170,Cà Phê Bud's,10.7980034,106.688636,Food_Dining,cafe,Chill,78896,3.6,64,0.375,07:00,23:00,"afternoon,evening",False
171,Nhà Hàng Neighborhood Meal,10.7805082,106.7057315,Food_Dining,restaurant:vietnamese,Chill,369911,4.73,86,0.404,07:00,23:00,"afternoon,evening",False
172,POI_2126938888,10.7815042,106.7053586,Food_Dining,fast_food,Local,101009,4.17,76,0.372,06:00,22:00,"morning,afternoon,evening",False
173,5KU Station,10.7794464,106.7042294,Food_Dining,restaurant:grill,Chill,187863,3.79,111,0.76,07:00,23:00,"afternoon,evening",True
174,Nhà Hàng Hoa Sứ,10.7975447,106.7141842,Food_Dining,restaurant,Chill,304151,3.63,111,0.509,07:00,23:00,"afternoon,evening",False
175,Nhà Hàng Trang Đỏ,10.797848,106.714665,Food_Dining,restaurant,Chill,303801,3.69,63,0.373,07:00,23:00,"afternoon,evening",False
176,Nhà Hàng Bông Súng,10.797692,106.715692,Food_Dining,restaurant,Chill,156660,4.78,93,0.395,07:00,23:00,"afternoon,evening",False
177,Nhà Hàng Kitchen,10.7979426,106.7158367,Food_Dining,restaurant,Chill,324930,4.37,87,0.336,07:00,23:00,"afternoon,evening",False
178,Nhà Hàng El Gaucho,10.7780321,106.7036328,Food_Dining,restaurant:argentinian,Chill,155972,3.93,117,0.628,07:00,23:00,"afternoon,evening",True
179,Nhà Hàng Nhật Annz,10.7781923,106.7039909,Food_Dining,restaurant:japanese,Chill,673398,3.76,98,0.594,07:00,23:00,"afternoon,evening",True
180,Nhà Hàng Beirut,10.7780733,106.7039174,Food_Dining,restaurant:lebanese,Chill,290023,4.38,118,0.637,07:00,23:00,"afternoon,evening",True
181,Cửa Hàng Pizza 4P's,10.7818475,106.705108,Food_Dining,restaurant:pizza,Chill,352880,3.93,66,0.315,07:00,23:00,"afternoon,evening",False
182,Starbucks,10.7765217,106.7049252,Food_Dining,cafe,Chill,63198,4.05,42,0.8,07:00,23:00,"afternoon,evening",True
